word,gloss,alternate_words
#all,,
#hs,,
#no,,
(movie/tv) credits,,
a lot of people transfer in,,
a lot of planning,,
a lot of text on page,,
a mess,,
a penny for your thoughts,,
a penny saved is a penny earned,,
a picture is worth a thousand words,,
a posterior knowledge,,
a pretty penny,,
a priori knowledge,,
a rolling stone gathers no moss,,
a running animal,,
a textbook case,,
a thousand,"denoting a quantity consisting of 1,000 items or units","1000, a_thousand, one_thousand, thousand"
a to b,,
a watched pot never boils,,
a week ago,,
a while,"for a short time; ""sit down and stay awhile""; ""they settled awhile in Virginia before moving West""; ""the baby was quiet for a while""","awhile, for_a_while"
a year ago,,
a-list,"a list of names of specially favored people; ""the boss gave me his A-list of people we should try to recruit""",A-list
a-ok,,
a-ok,in perfect condition or order,"a-ok, a-okay"
a.m.,before noon,"a.m., ante_meridiem"
a.m.,"before noon; ""let''s meet at 11 A.M.""","A.M., am, ante_meridiem"
a.w.s. (american welding society),,
a/c,a system that keeps air cool and dry,"ac, air_conditioner, air_conditioning"
a/c compressor,,
a1,,
aa,a dry form of lava resembling clinkers,aa
aaaachoo,,
aaah,,
aagh,,
aah,,
aaronic priesthood,,
aback,"by surprise; ""taken aback by the caustic remarks""",aback
abaft,"at or near or toward the stern of a ship or tail of an airplane; ""stow the luggage aft""; ""ships with square sails sail fairly efficiently with the wind abaft""; ""the captain looked astern to see what the fuss was about""","abaft, aft, astern"
abandon,"forsake, leave behind; ""We abandoned the old car in the empty parking lot""",abandon
abaracadabara,,
abase,"cause to feel shame; hurt the pride of; ""He humiliated his colleague by criticising him in front of the boss""","abase, chagrin, humble, humiliate, mortify"
abash,cause to be embarrassed; cause to feel self-conscious,"abash, embarrass"
abashed,"feeling or caused to feel uneasy and self-conscious; ""felt abashed at the extravagant praise""; ""chagrined at the poor sales of his book""; ""was embarrassed by her child''s tantrums""","abashed, chagrined, embarrassed"
abate,"become less in amount or intensity; ""The storm abated""; ""The rain let up after a few hours""","abate, die_away, let_up, slack, slack_off"
abbey,a church associated with a monastery or convent,abbey
abbot,the superior of an abbey of monks,"abbot, archimandrite"
abbreviate,"shorten; ""Abbreviate `New York'' and write `NY''""",abbreviate
abcs,"the elementary stages of any subject (usually plural); ""he mastered only the rudiments of geometry""","ABC, ABC's, ABCs, alphabet, first_principle, first_rudiment, rudiment"
abdicate,"give up, such as power, as of monarchs and emperors, or duties and obligations; ""The King abdicated when he married a divorcee""","abdicate, renounce"
abdomen,the region of the body of a vertebrate between the thorax and the pelvis,"abdomen, belly, stomach, venter"
abdominal surgery,,
