word,gloss,alternate_words
#all,,
#hs,,
#no,,
(movie/tv) credits,,
disneyland,an amusement park in Anaheim created in 1955 by Walt Disney,Disneyland
disobedience,the failure to obey,"disobedience, noncompliance"
"disobedience, disobey",,
disoblige,ignore someone''s wishes,disoblige
disorder,"condition in which there is a disturbance of normal functioning; ""the doctor prescribed some medicine for the disorder""; ""everyone gets stomach upsets from time to time""","disorder, upset"
disorderliness,untidiness (especially of clothing and appearance),"disarray, disorderliness"
disorganise,remove the organization from,"disorganise, disorganize"
disorganized,"lacking order or methodical arrangement or function; ""a disorganized enterprise""; ""a thousand pages of muddy and disorganized prose""; ""she was too disorganized to be an agreeable roommate""","disorganised, disorganized"
disown,prevent deliberately (as by making a will) from inheriting,"disinherit, disown"
disparate,"fundamentally different or distinct in quality or kind; ""such disparate attractions as grand opera and game fishing""; ""disparate ideas""",disparate
disparity,inequality or difference in some respect,disparity
dispassion,objectivity and detachment,"dispassion, dispassionateness"
dispatch,send away towards a designated goal,"despatch, dispatch, send_off"
dispel,"force to go away; used both with concrete and metaphoric meanings; ""Drive away potential burglars""; ""drive away bad thoughts""; ""dispel doubts""; ""The supermarket had to turn back many disappointed customers""","chase_away, dispel, drive_away, drive_off, drive_out, run_off, turn_back"
dispensable,"capable of being dispensed with or done without; ""dispensable items of personal property""",dispensable
dispensaries,clinic where medicine and medical supplies are dispensed,dispensary
dispensation,an exemption from some rule or obligation,dispensation
dispenser,a container so designed that the contents can be used in prescribed amounts,dispenser
dispersal,"the act of dispersing or diffusing something; ""the dispersion of the troops""; ""the diffusion of knowledge""","diffusion, dispersal, dispersion, dissemination"
dispirited,"low in spirits; ""lonely and blue in a strange city""; ""depressed by the loss of his job""; ""a dispirited and resigned expression on her face""; ""downcast after his defeat""; ""feeling discouraged and downhearted""","blue, depressed, depression, dispirited, down, downcast, downhearted, down_in_the_mouth, low-spirited"
displace,"force to move; ""the refugees were displaced by the war""","displace, force_out"
displaced,"put out of its usual place, position, or relationship; ""The colonists displaced the natives""","dislocate, displace"
displacement,"(physics) the change in position of an object; ""if x is used to indicate position, then delta x is used for displacement""",displacement
display,"to show, make visible or apparent; ""The Metropolitan Museum is exhibiting Goya''s works this month""; ""Why don''t you show your nice legs and wear shorter skirts?""; ""National leaders will have to display the highest skills of statesmanship""","display, exhibit, expose"
displease,give displeasure to,displease
displeased,not pleased; experiencing or manifesting displeasure,displeased
disposable,"designed to be disposed of after use; ""disposable paper cups""",disposable
disposal,a method of tending to (especially business) matters,"administration, disposal"
disposition,"your usual mood; ""he has a happy disposition""","disposition, temperament"
dispossess,expel or put out of the possession of real estate,dispossess
disproportion,lack of proportion; imbalance among the parts of something,disproportion
disprovable,,
disputable,capable of being disproved,"debatable, disputable"
disputant,a person who disputes; who is good at or enjoys controversy,"controversialist, disputant, eristic"
dispute,"a disagreement or argument about something important; ""he had a dispute with his wife""; ""there were irreconcilable differences""; ""the familiar conflict between Republicans and Democrats""","conflict, difference, difference_of_opinion, dispute"
disqualification,the act of preventing someone from participating by finding them unqualified,disqualification
disquiet,"disturb in mind or make uneasy or cause to be worried or alarmed; ""She was rather perturbed by the news that her father was seriously ill""","cark, disorder, disquiet, distract, perturb, trouble, unhinge"
disregard,"bar from attention or consideration; ""She dismissed his advances""","brush_aside, brush_off, discount, dismiss, disregard, ignore, push_aside"
disrepair,in need of repairs,disrepair
disreputable,lacking respectability in character or behavior or appearance,disreputable
disrespectful,neither feeling nor showing respect,"aweless, awless, disrespectful"
disrobe,"get undressed; ""please don''t undress in front of everybody!""; ""She strips in front of strangers every night for a living""","discase, disrobe, peel, strip, strip_down, uncase, unclothe, undress"
dissatisfaction,"the feeling of being displeased and discontent; ""he was never slow to express his dissatisfaction with the service he received""",dissatisfaction
dissemblance,,
disseminate,"cause to become widely known; ""spread information""; ""circulate a rumor""; ""broadcast the news""","broadcast, circularise, circularize, circulate, diffuse, disperse, disseminate, distribute, pass_around, propagate, spread"
dissent among the authorities,a difference of opinion,dissent
dissertation,a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree,"dissertation, thesis"
disservice,"an act intended to help that turns out badly; ""he did them a disservice""","disservice, ill_service, ill_turn"
dissidence,disagreement; especially disagreement with the government,dissidence
dissimilar,"not similar; ""a group of very dissimilar people""; ""a pump not dissimilar to those once found on every farm""; ""their understanding of the world is not so dissimilar from our own""; ""took different (or dissimilar) approaches to the problem""",dissimilar
dissimulate,hide (feelings) from other people,dissimulate
dissipate,"disappear or cause to disappear by gradually lessening or thinning out; ""the bad odor dissipated in the wind"", ""her concern for the matter dissipated with time""",dissipate
dissociate,"part; cease or break association with; ""She disassociated herself from the organization when she found out the identity of the president""","disassociate, disjoint, dissociate, disunite, divorce"
dissoluble,capable of dissolving,"dissoluble, dissolvable"
dissolve,"cause to go into a solution; ""The recipe says that we should dissolve a cup of sugar in two cups of water""","break_up, dissolve, resolve"
dissonance,disagreeable sounds,dissonance
dissuade,"turn away from by persuasion; ""Negative campaigning will only dissuade people""","deter, dissuade"
distance,the property created by the space between two objects or points,distance
distance formula,,
distant,"separated in space or time or coming from or going to a distance; ""the distant past""; ""distant villages""; ""the sound of distant traffic""; ""a distant sound""; ""a distant telephone call""",distant
distaste,a feeling of intense dislike,"antipathy, aversion, distaste"
distasteful,"highly offensive; arousing aversion or disgust; ""a disgusting smell""; ""distasteful language""; ""a loathsome disease""; ""the idea of eating meat is repellent to me""; ""revolting food""; ""a wicked stench""","disgustful, disgusting, distasteful, foul, loathly, loathsome, repellant, repellent, repelling, revolting, skanky, wicked, yucky"
distemper,a method of painting in which the pigments are mixed with water and a binder; used for painting posters or murals or stage scenery,distemper
distend,"swell from or as if from internal pressure; ""The distended bellies of the starving cows""",distend
distil,"give off (a liquid); ""The doctor distilled a few drops of disinfectant onto the wound""","distil, distill"
distillation,the process of purifying a liquid by boiling it and condensing its vapors,"distillation, distillment"
distiller,someone who distills alcoholic liquors,distiller
distillery,a plant and works where alcoholic drinks are made by distillation,"distillery, still"
distinct,"constituting a separate entity or part; ""a government with three discrete divisions""; ""on two distinct occasions""","discrete, distinct"
distinction,"a discrimination between things as different and distinct; ""it is necessary to make a distinction between love and infatuation""","differentiation, distinction"
distinguish,"mark as different; ""We distinguish several kinds of maple""","differentiate, distinguish, secern, secernate, separate, severalise, severalize, tell, tell_apart"
distinguishable,"capable of being perceived as different or distinct; ""only the shine of their metal was distinguishable in the gloom""; ""a project distinguishable into four stages of progress""; ""distinguishable differences between the twins""",distinguishable
distinguished,"(used of persons) standing above others in character or attainment or reputation; ""our distinguished professor""; ""an eminent scholar""; ""a great statesman""","distinguished, eminent, great"
distort,make false by mutilation or addition; as of a message or story,"distort, falsify, garble, warp"
distract,"draw someone''s attention away from something; ""The thief distracted the bystanders""; ""He deflected his competitors""","deflect, distract"
distracted,having the attention diverted especially because of anxiety,"distracted, distrait"
distress,"extreme physical pain; ""the patient appeared to be in distress""",distress
distress,"psychological suffering; ""the death of his wife caused him great distress""","distress, hurt, suffering"
distressed,"afflicted with or marked by anxious uneasiness or trouble or grief; ""too upset to say anything""; ""spent many disquieted moments""; ""distressed about her son''s leaving home""; ""lapsed into disturbed sleep""; ""worried parents""; ""a worried frown""; ""one last wo","disquieted, distressed, disturbed, upset, worried"
distribute,"distribute or disperse widely; ""The invaders spread their language all over the country""","distribute, spread"
distributed,spread out or scattered about or divided up,distributed
distributive property,,
distributive property of multiplication,,
distributive property of multiplication over addition,,
distributor,someone who markets merchandise,"distributer, distributor"
district,a region marked off for administrative or other purposes,"district, dominion, territorial_dominion, territory"
district president,,
distrust,regard as untrustworthy; regard with suspicion; have no faith or confidence in,"distrust, mistrust, suspect"
disturb,"move deeply; ""This book upset me""; ""A troubling thought""","disturb, trouble, upset"
disturbed,"afflicted with or marked by anxious uneasiness or trouble or grief; ""too upset to say anything""; ""spent many disquieted moments""; ""distressed about her son''s leaving home""; ""lapsed into disturbed sleep""; ""worried parents""; ""a worried frown""; ""one last wo","disquieted, distressed, disturbed, upset, worried"
disuse,"the state of something that has been unused and neglected; ""the house was in a terrible state of neglect""","disuse, neglect"
ditch,a long narrow excavation in the earth,ditch
dither,act nervously; be undecided; be uncertain,dither
ditties,a short simple song (or the words of a poem intended to be sung),ditty
ditto,a mark used to indicate the word above it should be repeated,"ditto, ditto_mark"
ditz around,,
diuretic,any substance that tends to increase the flow of urine,"diuretic, diuretic_drug, water_pill"
diva,a distinguished female operatic singer; a female operatic star,"diva, prima_donna"
dive,a headlong plunge into water,"dive, diving"
dive,a cheap disreputable nightclub or dance hall,"dive, honkytonk"
dive into,,
diver,someone who works underwater,"diver, frogman, underwater_diver"
diverse,"many and different; ""tourist offices of divers nationalities""; ""a person of diverse talents""","divers, diverse"
diversion,"an activity that diverts or amuses or stimulates; ""scuba diving is provided as a diversion for tourists""; ""for recreation he wrote poetry and solved crossword puzzles""; ""drug abuse is often regarded as a form of recreation""","diversion, recreation"
diversity,"noticeable heterogeneity; ""a diversity of possibilities""; ""the range and variety of his work is amazing""","diverseness, diversity, multifariousness, variety"
divert,send on a course or in a direction different from the planned or intended one,divert
diverticulitis,inflammation of a diverticulum in the digestive tract (especially the colon); characterized by painful abdominal cramping and fever and constipation,diverticulitis
divest,"take away possessions from someone; ""The Nazis stripped the Jews of all their assets""","deprive, divest, strip"
dividable,"can be divided usually without leaving a remainder; ""15 is divisible by 3""",dividable
divide,"separate into parts or portions; ""divide the cake into three equal parts""; ""The British carved up the Ottoman Empire after World War I""","carve_up, dissever, divide, separate, split, split_up"
divide into,,
dividend,that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly,dividend
divinatory,"based primarily on surmise rather than adequate evidence; ""theories about the extinction of dinosaurs are still highly conjectural""; ""the supposed reason for his absence""; ""suppositious reconstructions of dead languages""; ""supposititious hypotheses""","conjectural, divinatory, supposed, suppositional, suppositious, supposititious"
divine,terms referring to the Judeo-Christian God,"Almighty, Creator, Divine, Godhead, God_Almighty, Jehovah, Lord, Maker"
diviner,someone who claims to discover hidden knowledge with the aid of supernatural powers,diviner
divisibility,the quality of being divisible; the capacity to be divided into parts or divided among a number of persons,divisibility
divisible,"capable of being or liable to be divided or separated; ""even numbers are divisible by two""; ""the Americans fought a bloody war to prove that their nation is not divisible""",divisible
division,the act of dividing or partitioning; separation by the creation of a boundary that divides or keeps apart,"division, partition, partitioning, sectionalisation, sectionalization, segmentation"
division property for inequality,,
division property of equality,,
divisive,dissenting (especially dissenting with the majority opinion),"dissentious, divisive, factious"
divisor,"one of two or more integers that can be exactly divided into another integer; ""what are the 4 factors of 6?""","divisor, factor"
divisor,the number by which a dividend is divided,divisor
divisordivisors,,
divorce,"get a divorce; formally terminate a marriage; ""The couple divorced after only 6 months""","divorce, split_up"
divorced,of someone whose marriage has been legally dissolved,divorced
divorcee,a divorced woman or a woman who is separated from her husband,"divorcee, grass_widow"
divulge,"make known to the public information that was previously known only to a few people or that was meant to be kept a secret; ""The auction house would not disclose the price at which the van Gogh had sold""; ""The actress won''t reveal how old she is""; ""bring","break, bring_out, disclose, discover, divulge, expose, give_away, impart, let_on, let_out, reveal"
divvy up,give out as one''s portion or share,"apportion, deal, divvy_up, portion_out, share"
diwali,,
dixie,the southern states that seceded from the United States in 1861,"Confederacy, Confederate_States, Confederate_States_of_America, Dixie, Dixieland, South"
dizzy,"having or causing a whirling sensation; liable to falling; ""had a dizzy spell""; ""a dizzy pinnacle""; ""had a headache and felt giddy""; ""a giddy precipice""; ""feeling woozy from the blow on his head""; ""a vertiginous climb up the face of the cliff""","dizzy, giddy, vertiginous, woozy"
dj (disc jockey),,
djibouti,a country in northeastern Africa on the Somali peninsula; formerly under French control but became independent in 1997,"Afars_and_Issas, Djibouti, Republic_of_Djibouti"
dna,,
do,"carry out or perform an action; ""John did the painting, the weeding, and he cleaned out the gutters""; ""the skater executed a triple pirouette""; ""she did a little dance""","do, execute, perform"
do,"get (something) done; ""I did my job""","do, perform"
do (alternate),,
do do,extinct heavy flightless bird of Mauritius related to pigeons,"dodo, Raphus_cucullatus"
do not believe,,
do not have,,
do not know,,
do not mind,,
do not need,,
do that again,,
do you have change for a dollar,,
do you have children,,
do you know how to,,
do you know?,,
do you like it,,
do you mind if i borrow your car,,
do you mind?,,
do you need to pee,,
do you read lips,,
do you want to go out?,,
doc,"a licensed medical practitioner; ""I felt so bad I went to see my doctor""","doc, doctor, Dr., MD, medico, physician"
docent,a teacher at some universities,docent
dock,a place where a craft can be made fast,"berth, moorage, mooring, slip"
dock,"come into dock; ""the ship docked""",dock
docker,a laborer who loads and unloads vessels in a port,"dock-walloper, docker, dockhand, dock_worker, loader, longshoreman, lumper, stevedore"
docket,"place on the docket for legal action; ""Only 5 of the 120 cases docketed were tried""",docket
dockyard,an establishment on the waterfront where vessels are built or fitted out or repaired,dockyard
doctor,"a licensed medical practitioner; ""I felt so bad I went to see my doctor""","doc, doctor, Dr., MD, medico, physician"
doctor,(computer science) a computer file that contains text (and possibly formatting instructions) using 7-bit ASCII characters,"document, text_file"
doctor stethoscope,,
doctrinal,"relating to or involving or preoccupied with doctrine; ""quibbling over doctrinal minutiae""",doctrinal
doctrine,a belief (or system of beliefs) accepted as authoritative by some group or school,"doctrine, ism, philosophical_system, philosophy, school_of_thought"
doctrine and covenants,,
doctrine of christ,,
docudrama,a film or TV program presenting the facts about a person or event,"docudrama, documentary, documentary_film, infotainment"
document,writing that provides information (especially information of an official nature),"document, papers, written_document"
documentaries,a film or TV program presenting the facts about a person or event,"docudrama, documentary, documentary_film, infotainment"
documentary,a film or TV program presenting the facts about a person or event,"docudrama, documentary, documentary_film, infotainment"
documentation,"documentary validation; ""his documentation of the results was excellent""; ""the strongest support for this this view is the work of Jones""","documentation, support"
dodder,a leafless annual parasitic vine of the genus Cuscuta having whitish or yellow filamentous stems; obtain nourishment through haustoria,dodder
dodge,"make a sudden movement in a new direction so as to avoid; ""The child dodged the teacher''s blow""",dodge
dodgeball,"a team sport in which players on two opposing teams try to throw balls and hit opponents while avoiding being hit themselves; ""we're playing dodgeball in P.E. today,"" ""in middle school dodgeball, headshots don't usually count""",dodgeball
dodger,small oval cake of corn bread baked or fried (chiefly Southern),"corn_dab, corn_dodger, dodger"
doe,mature female of mammals of which the male is called `buck'',doe
doer,"a person who acts and gets things done; ""he''s a principal actor in this affair""; ""when you want something done get a doer""; ""he''s a miracle worker""","actor, doer, worker"
does not,,
doeskin,a fine smooth soft woolen fabric,doeskin
doesnt matter,,
dog,"a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night""","Canis_familiaris, dog, domestic_dog"
dog collar,a band of leather or rope that is placed around an animal''s neck as a harness or to identify it,collar
dog lapping water,"take up with the tongue; ""The cat lapped up the milk""; ""the cub licked the milk from its mother''s breast""","lap, lap_up, lick"
dogcatcher,,
dogfight,a violent fight between dogs (sometimes organized illegally for entertainment and gambling),dogfight
dogfish,any of several small sharks,dogfish
doggerel,"a comic verse of irregular measure; ""he had heard some silly doggerel that kept running through his mind""","doggerel, doggerel_verse, jingle"
doggone,,
doghouse,outbuilding that serves as a shelter for a dog,"doghouse, dog_house, kennel"
dogie,motherless calf in a range herd of cattle,"dogie, dogy, leppy"
dogma,a religious doctrine that is proclaimed as true without proof,"dogma, tenet"
dogmatize,speak dogmatically,"dogmatise, dogmatize"
dogsled,a sled pulled by dogs,"dogsled, dog_sled, dog_sleigh"
doha,the capital and chief port of Qatar,"Bida, capital_of_Qatar, Doha, El_Beda"
doing,,
doing,"proceed or get along; ""How is she doing in her new job?""; ""How are you making out in graduate school?""; ""He''s come a long way""","come, do, fare, get_along, make_out"
doing,"carry out or perform an action; ""John did the painting, the weeding, and he cleaned out the gutters""; ""the skater executed a triple pirouette""; ""she did a little dance""","do, execute, perform"
doing nothing,,
doing the same thing over and over again,,
doldrums,a belt of calms and light winds between the northern and southern trade winds of the Atlantic and Pacific,"doldrums, the_doldrums"
doleful,"filled with or evoking sadness; ""the child''s doleful expression""; ""stared with mournful eyes""; ""mournful news""","doleful, mournful"
doll,a small replica of a person; used as a toy,"doll, dolly"
dollar,the basic monetary unit in many countries; equal to 100 cents,dollar
dollar,"a piece of paper money (especially one issued by a central bank); ""he peeled off five one-thousand-zloty notes""","banker's_bill, banknote, bank_bill, bank_note, bill, Federal_Reserve_note, government_note, greenback, note"
dollar sign,a mark ($) written before a number to indicate that it stands for the number of dollars,"dollar_mark, dollar_sign"
dollars,the basic monetary unit in many countries; equal to 100 cents,dollar
dollhouse,a small model of a house used as a toy by children,"doll's_house, dollhouse"
dolphin,any of various small toothed whales with a beaklike snout; larger than porpoises,dolphin
domain,"a particular environment or walk of life; ""his social sphere is limited""; ""it was a closed area of employment""; ""he''s out of my orbit""","area, arena, domain, field, orbit, sphere"
domain name system (dns),"a hierarchical and decentralized naming system for computers, services, or other resources connected to the Internet or a private network. It associates various information with domain names assigned to each of the participating entities","dns, Domain_Name_System"
dome,a hemispherical roof,dome
domestic,"of concern to or concerning the internal affairs of a nation; ""domestic issues such as tax rate and highway construction""",domestic
dominant,"exercising influence or control; ""television plays a dominant role in molding public opinion""; ""the dominant partner in the marriage""",dominant
dominant (genetics),,
dominica,a volcanic island in the Windward Islands that was once a stronghold of the Carib Indians,Dominica
dominican republic,a republic in the West Indies; located on the eastern two-thirds of the island of Hispaniola,Dominican_Republic
don't,,
don't do that,,
don't eat,,
don't have,,
don't know,"a person who responds `I don''t know'' in a public opinion poll; ""70% in favor, 13% opposed and 17% don''t-knows""","don't-know, I_don't_know"
don't like,,
don't move,"come to a halt, stop moving; ""the car stopped""; ""She stopped in front of a store window""","halt, stop"
don't need,,
don't touch,,
don't understand,,
don't want,,
don't worry about it,,
don't&nbsp;,,
donald trump,,
donate,"give to a charity or good cause; ""I donated blood to the Red Cross for the victims of the earthquake""; ""donate money to the orphanage""; ""She donates to her favorite charity every month""",donate
done,"having finished or arrived at completion; ""certain to make history before he''s done""; ""it''s a done deed""; ""after the treatment, the patient is through except for follow-up""; ""almost through with his studies""","done, through, through_with"
done in,,
done with topic,,
donkey,domestic beast of burden descended from the African wild ass; patient but stubborn,"ass, domestic_ass, donkey, Equus_asinus"
donor,person who makes a gift of property,"donor, giver, presenter"
dont care,,
dont know,"a person who responds `I don''t know'' in a public opinion poll; ""70% in favor, 13% opposed and 17% don''t-knows""","don't-know, I_don't_know"
dont like,,
dont want,,
donut,a small ring-shaped friedcake,"donut, doughnut, sinker"
doodad,something whose name is either forgotten or not known,"dohickey, dojigger, doodad, doohickey, gimmick, gismo, gizmo, gubbins, hickey, thingamabob, thingamajig, thingmabob, thingmajig, thingumabob, thingumajig, thingummy"
doodle,an aimless drawing,"doodle, scrabble, scribble"
doodler,,
doofus,a stupid incompetent person,"dimwit, doofus, half-wit, nitwit"
doom,"decree or designate beforehand; ""She was destined to become a great pianist""","designate, destine, doom, fate"
doomsayer,,
doomsday,"an unpleasant or disastrous destiny; ""everyone was aware of the approaching doom but was helpless to avoid it""; ""that''s unfortunate but it isn''t the end of the world""","day_of_reckoning, doom, doomsday, end_of_the_world"
door,"a swinging or sliding barrier that will close the entrance to a room or building or vehicle; ""he knocked on the door""; ""he slammed the door as he left""",door
door step,the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway and offer support when passing through a doorway,"doorsill, doorstep, threshold"
doorbell,a push button at an outer door that gives a ringing or buzzing signal when pushed,"bell, buzzer, doorbell"
doorkeeper,someone who guards an entrance,"doorkeeper, doorman, door_guard, gatekeeper, hall_porter, ostiary, porter"
doorknob,a knob used to release the catch when opening a door (often called `doorhandle'' in Great Britain),"doorhandle, doorknob"
doorknocker,a device (usually metal and ornamental) attached by a hinge to a door,"doorknocker, knocker, rapper"
doorstep,the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway and offer support when passing through a doorway,"doorsill, doorstep, threshold"
doorway,"the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close; ""he stuck his head in the doorway""","door, doorway, room_access, threshold"
dope,an ignorant or foolish person,"boob, booby, dope, dumbbell, dummy, pinhead"
dope,street names for marijuana,"dope, gage, grass, green_goddess, locoweed, Mary_Jane, pot, sens, sess, skunk, smoke, weed"
doper,,
dopier,,
doppelganger,a ghostly double of a living person that haunts its living counterpart,doppelganger
doppler effect,change in the apparent frequency of a wave as observer and source move toward or away from each other,"Doppler_effect, Doppler_shift"
dorm,a college or university building containing living quarters for students,"dorm, dormitory, hall, residence_hall, student_residence"
dormancy,quiet and inactive restfulness,"dormancy, quiescence, quiescency, sleeping"
dormic,,
dorsal,"belonging to or on or near the back or upper surface of an animal or organ or part; ""the dorsal fin is the vertical fin on the back of a fish and certain marine mammals""",dorsal
dosage,the quantity of an active agent (substance or radiation) taken in or absorbed at any one time,"dosage, dose"
doss,"sleep in a convenient place; ""You can crash here, though it''s not very comfortable""","crash, doss, doss_down"
dosser,someone who sleeps in any convenient place,"dosser, street_person"
dosshouse,a cheap lodging house,"dosshouse, flophouse"
dossier,a collection of papers containing detailed information about a particular person or subject (usually a person''s record),dossier
dotage,mental infirmity as a consequence of old age; sometimes shown by foolish infatuations,"dotage, second_childhood, senility"
dotcom,,
dote,"shower with love; show excessive affection for; ""Grandmother dotes on her the twins""",dote
dots,"a very small circular shape; ""a row of points""; ""draw lines between the dots""","dot, point"
double,"increase twofold; ""The population doubled within 50 years""","double, duplicate"
double,"a stand-in for movie stars to perform dangerous stunts; ""his first job in Hollywood was as a double for Clark Gable""","double, stunt_man, stunt_woman"
double,"a base hit on which the batter stops safely at second base; ""he hit a double to deep centerfield""","double, two-bagger, two-baser, two-base_hit"
double pole single throw,,
double-displacement,,
doubleheader,two instead of one,"doubleheader, double_feature, twin_bill"
doublespeak,any language that pretends to communicate but actually does not,doublespeak
doubt,the state of being unsure of something,"doubt, doubtfulness, dubiety, dubiousness, incertitude, uncertainty"
doubt (wavering),,
doubter,a person who doubts truth of religion,"agnostic, doubter"
doubtless,"with certainty; ""it''s undoubtedly very beautiful""","beyond_any_doubt, beyond_question, doubtless, undoubtedly, without_doubt"
douche,"direct a spray of water into a bodily cavity, for cleaning",douche
dough,a flour mixture stiff enough to knead or roll,dough
doughboy,"a rounded lump of dough that is deep-fried and served as hot bread; ""the doughboy was a predecessor of the doughnut""",doughboy
doughnut,a small ring-shaped friedcake,"donut, doughnut, sinker"
doughy,"having the consistency of dough because of insufficient leavening or improper cooking; ""the cake fell; it''s a doughy mess""","doughy, soggy"
dour,"showing a brooding ill humor; ""a dark scowl""; ""the proverbially dour New England Puritan""; ""a glum, hopeless shrug""; ""he sat in moody silence""; ""a morose and unsociable manner""; ""a saturnine, almost misanthropic young genius""- Bruce Bliven; ""a sour temper","dark, dour, glowering, glum, moody, morose, saturnine, sour, sullen"
douse,"immerse briefly into a liquid so as to wet, coat, or saturate; ""dip the garment into the cleaning solution""; ""dip the brush into the paint""","dip, douse, dunk, plunge, souse"
dove,any of numerous small pigeons,dove
dowager,a widow holding property received from her deceased husband,dowager
dowdily,"in a dowdy unfashionable manner; ""she dresses dowdily""","dowdily, frumpily, frumpishly"
down,"spatially or metaphorically from a higher to a lower level or position; ""don''t fall down""; ""rode the lift up and skied down""; ""prices plunged downward""","down, downward, downwardly, downwards"
down,soft fine feathers,"down, down_feather"
down,"paid in cash at time of purchase; ""put ten dollars down on the necklace""",down
down,"(American football) a complete play to advance the football; ""you have 4 downs to gain 10 yards""",down
down payment,a partial payment made at the time of purchase; the balance to be paid later,"deposit, down_payment"
down!,,
downbeat,the first beat of a musical measure (as the conductor''s arm moves downward),downbeat
downburst,,
downdraft,a strong downward air current,downdraft
downfall,failure that results in a loss of position or reputation,"downfall, ruin, ruination"
downhearted,"low in spirits; ""lonely and blue in a strange city""; ""depressed by the loss of his job""; ""a dispirited and resigned expression on her face""; ""downcast after his defeat""; ""feeling discouraged and downhearted""","blue, depressed, depression, dispirited, down, downcast, downhearted, down_in_the_mouth, low-spirited"
downhill,the downward slope of a hill,downhill
downhill skiing,,
download,transfer a file or program from a central computer to a smaller computer or to a computer at a remote location,download
downplay,"understate the importance or quality of; ""he played down his royal ancestry""","background, downplay, play_down"
downrange,,
downriver,away from the source or with the current,"downriver, downstream"
downside,"a negative aspect of something that is generally positive; ""there is a downside even to motherhood""",downside
downsize,,
downstairs,"on a floor below; ""the tenants live downstairs""","below, downstairs, down_the_stairs, on_a_lower_floor"
downstream,away from the source or with the current,"downriver, downstream"
downtime,a period of time when something (as a machine or factory) is not operating (especially as a result of malfunctions),downtime
downtown,"of or located in the lower part of a town, or in the business center; ""downtown Manhattan""; ""delinquents roaming the downtown streets""",downtown
downwind,"in the direction the wind is blowing; ""they flew downwind""","downwind, with_the_wind"
downy,"covered with fine soft hairs or down; ""downy milkweed seeds""","downy, puberulent, pubescent, sericeous"
dowries,money or property brought by a woman to her husband at marriage,"dower, dowery, dowry"
dowse,searching for underground water or minerals by using a dowsing rod,"dowse, dowsing, rhabdomancy"
doxologies,a hymn or verse in Christian liturgy glorifying God,doxology
doze,sleep lightly or for a short period of time,"doze, drowse, snooze"
dozen,denoting a quantity consisting of 12 items or units,"12, dozen, twelve"
dozenth,,
dozily,,
dr. martin luther king,United States charismatic civil rights leader and Baptist minister who campaigned against the segregation of Blacks (1929-1968),"King, Martin_Luther_King, Martin_Luther_King_Jr."
drab,"depressing in character or appearance; ""drove through dingy streets""; ""the dismal prison twilight""- Charles Dickens; ""drab old buildings""; ""a dreary mining town""; ""gloomy tenements""; ""sorry routine that follows on the heels of death""- B.A.Williams","dingy, dismal, drab, drear, dreary, gloomy, sorry"
drabber,,
draconian,"of or relating to Draco or his harsh code of laws; ""Draconian measures""",Draconian
draft,"draw up an outline or sketch for something; ""draft a speech""","draft, outline"
draftee,someone who is drafted into military service,"conscript, draftee, inductee"
draftier,,
drafting,the craft of drawing blueprints,"drafting, mechanical_drawing"
draftswoman,,
drag,"pull, as against a resistance; ""He dragged the big suitcase behind him""; ""These worries were dragging at him""",drag
drag,"clothing that is conventionally worn by the opposite sex (especially women''s clothing when worn by a man); ""he went to the party dressed in drag""; ""the waitresses looked like missionaries in drag""",drag
drag out,last unnecessarily long,"drag_on, drag_out"
dragged out,,
draggy,,
dragnet,a conical fishnet dragged through the water at great depths,"dragnet, trawl, trawl_net"
dragon,a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings,"dragon, firedrake"
dragonflies,slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.,"darning_needle, devil's_darning_needle, dragonfly, mosquito_hawk, sewing_needle, skeeter_hawk, snake_doctor, snake_feeder"
dragonfly,slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.,"darning_needle, devil's_darning_needle, dragonfly, mosquito_hawk, sewing_needle, skeeter_hawk, snake_doctor, snake_feeder"
dragoon,a member of a European military unit formerly composed of heavily armed cavalrymen,dragoon
drain,"flow off gradually; ""The rain water drains into this big vat""","drain, run_out"
drain,"empty of liquid; drain the liquid from; ""We drained the oil tank""",drain
drain pan,,
drain tube,,
drainpipe,a pipe through which liquid is carried away,"drain, drainpipe, waste_pipe"
drama,"a dramatic work intended for performance by actors on a stage; ""he wrote several plays but only one was produced on Broadway""","drama, dramatic_play, play"
drama within a group,,
dramatic,"suitable to or characteristic of drama; ""a dramatic entrance in a swirling cape""; ""a dramatic rescue at sea""",dramatic
dramatic,"sensational in appearance or thrilling in effect; ""a dramatic sunset""; ""a dramatic pause""; ""a spectacular display of northern lights""; ""it was a spectacular play""; ""his striking good looks always created a sensation""","dramatic, spectacular, striking"
dramatic speech,,
dramatisation,a dramatic representation,"dramatisation, dramatization"
